2024-03-19 20:54:22 : scalar : MinMaxScalar
2024-03-19 20:54:22 : train test split : 0.25
2024-03-19 20:54:22 : random state : 15
2024-03-19 20:54:22 : epochs : 1000
2024-03-19 20:54:22 : learning rate : 0.0001
2024-03-19 20:54:22 : activation function : tanh
2024-03-19 20:54:22 : loss function : mean_squared_error
2024-03-19 20:54:22 : Optimizer : AdaGrad

2024-03-19 20:54:22 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 1.332015 	 Accuracy : 0.606287
Epoch : 2 	 Error : 0.221617 	 Accuracy : 0.667665
Epoch : 3 	 Error : 0.203473 	 Accuracy : 0.711078
Epoch : 4 	 Error : 0.189327 	 Accuracy : 0.758982
Epoch : 5 	 Error : 0.178241 	 Accuracy : 0.782934
Epoch : 6 	 Error : 0.169789 	 Accuracy : 0.796407
Epoch : 7 	 Error : 0.163533 	 Accuracy : 0.797904
Epoch : 8 	 Error : 0.158996 	 Accuracy : 0.799401
Epoch : 9 	 Error : 0.155735 	 Accuracy : 0.799401
Epoch : 10 	 Error : 0.153387 	 Accuracy : 0.800898
Epoch : 11 	 Error : 0.151676 	 Accuracy : 0.797904
Epoch : 12 	 Error : 0.150406 	 Accuracy : 0.796407
Epoch : 13 	 Error : 0.149441 	 Accuracy : 0.799401
Epoch : 14 	 Error : 0.148688 	 Accuracy : 0.800898
Epoch : 15 	 Error : 0.148086 	 Accuracy : 0.800898
Epoch : 16 	 Error : 0.147591 	 Accuracy : 0.799401
Epoch : 17 	 Error : 0.147176 	 Accuracy : 0.797904
Epoch : 18 	 Error : 0.146821 	 Accuracy : 0.799401
Epoch : 19 	 Error : 0.14651 	 Accuracy : 0.800898
Epoch : 20 	 Error : 0.146236 	 Accuracy : 0.802395
Epoch : 21 	 Error : 0.14599 	 Accuracy : 0.802395
Epoch : 22 	 Error : 0.145767 	 Accuracy : 0.802395
Epoch : 23 	 Error : 0.145564 	 Accuracy : 0.802395
Epoch : 24 	 Error : 0.145376 	 Accuracy : 0.802395
Epoch : 25 	 Error : 0.145203 	 Accuracy : 0.803892
Epoch : 26 	 Error : 0.145041 	 Accuracy : 0.803892
Epoch : 27 	 Error : 0.14489 	 Accuracy : 0.803892
Epoch : 28 	 Error : 0.144748 	 Accuracy : 0.803892
Epoch : 29 	 Error : 0.144614 	 Accuracy : 0.803892
Epoch : 30 	 Error : 0.144487 	 Accuracy : 0.803892
Epoch : 31 	 Error : 0.144367 	 Accuracy : 0.803892
Epoch : 32 	 Error : 0.144253 	 Accuracy : 0.803892
Epoch : 33 	 Error : 0.144144 	 Accuracy : 0.803892
Epoch : 34 	 Error : 0.14404 	 Accuracy : 0.803892
Epoch : 35 	 Error : 0.143941 	 Accuracy : 0.803892
Epoch : 36 	 Error : 0.143845 	 Accuracy : 0.805389
Epoch : 37 	 Error : 0.143754 	 Accuracy : 0.805389
Epoch : 38 	 Error : 0.143666 	 Accuracy : 0.805389
Epoch : 39 	 Error : 0.143582 	 Accuracy : 0.805389
Epoch : 40 	 Error : 0.1435 	 Accuracy : 0.805389
Epoch : 41 	 Error : 0.143422 	 Accuracy : 0.805389
Epoch : 42 	 Error : 0.143346 	 Accuracy : 0.806886
Epoch : 43 	 Error : 0.143272 	 Accuracy : 0.806886
Epoch : 44 	 Error : 0.143201 	 Accuracy : 0.806886
Epoch : 45 	 Error : 0.143133 	 Accuracy : 0.806886
Epoch : 46 	 Error : 0.143066 	 Accuracy : 0.806886
Epoch : 47 	 Error : 0.143001 	 Accuracy : 0.806886
Epoch : 48 	 Error : 0.142938 	 Accuracy : 0.808383
Epoch : 49 	 Error : 0.142877 	 Accuracy : 0.808383
Epoch : 50 	 Error : 0.142818 	 Accuracy : 0.808383
Epoch : 51 	 Error : 0.14276 	 Accuracy : 0.808383
Epoch : 52 	 Error : 0.142704 	 Accuracy : 0.808383
Epoch : 53 	 Error : 0.142649 	 Accuracy : 0.808383
Epoch : 54 	 Error : 0.142596 	 Accuracy : 0.80988
Epoch : 55 	 Error : 0.142543 	 Accuracy : 0.80988
Epoch : 56 	 Error : 0.142492 	 Accuracy : 0.80988
Epoch : 57 	 Error : 0.142443 	 Accuracy : 0.80988
Epoch : 58 	 Error : 0.142394 	 Accuracy : 0.80988
Epoch : 59 	 Error : 0.142346 	 Accuracy : 0.80988
Epoch : 60 	 Error : 0.1423 	 Accuracy : 0.80988
Epoch : 61 	 Error : 0.142254 	 Accuracy : 0.80988
Epoch : 62 	 Error : 0.14221 	 Accuracy : 0.80988
Epoch : 63 	 Error : 0.142166 	 Accuracy : 0.80988
Epoch : 64 	 Error : 0.142123 	 Accuracy : 0.80988
Epoch : 65 	 Error : 0.142082 	 Accuracy : 0.80988
Epoch : 66 	 Error : 0.14204 	 Accuracy : 0.80988
Epoch : 67 	 Error : 0.142 	 Accuracy : 0.80988
Epoch : 68 	 Error : 0.14196 	 Accuracy : 0.80988
Epoch : 69 	 Error : 0.141922 	 Accuracy : 0.80988
Epoch : 70 	 Error : 0.141883 	 Accuracy : 0.80988
Epoch : 71 	 Error : 0.141846 	 Accuracy : 0.80988
Epoch : 72 	 Error : 0.141809 	 Accuracy : 0.80988
Epoch : 73 	 Error : 0.141773 	 Accuracy : 0.80988
Epoch : 74 	 Error : 0.141737 	 Accuracy : 0.80988
Epoch : 75 	 Error : 0.141702 	 Accuracy : 0.80988
Epoch : 76 	 Error : 0.141668 	 Accuracy : 0.80988
Epoch : 77 	 Error : 0.141634 	 Accuracy : 0.80988
Epoch : 78 	 Error : 0.141601 	 Accuracy : 0.80988
Epoch : 79 	 Error : 0.141568 	 Accuracy : 0.80988
Epoch : 80 	 Error : 0.141536 	 Accuracy : 0.80988
Epoch : 81 	 Error : 0.141504 	 Accuracy : 0.80988
