2024-03-19 20:56:30 : scalar : MinMaxScalar
2024-03-19 20:56:30 : train test split : 0.25
2024-03-19 20:56:30 : random state : 15
2024-03-19 20:56:30 : epochs : 1000
2024-03-19 20:56:30 : learning rate : 0.0001
2024-03-19 20:56:30 : activation function : relu
2024-03-19 20:56:30 : loss function : mean_squared_error
2024-03-19 20:56:30 : Optimizer : SGDMomentum

2024-03-19 20:56:30 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 1.556543 	 Accuracy : 0.368263
Epoch : 2 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 3 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 4 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 5 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 7 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 8 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 9 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 10 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 11 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 12 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 13 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 14 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 15 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 16 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 17 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 18 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 19 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 20 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 21 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 22 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 23 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 24 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 25 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 26 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 27 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 28 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 29 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 30 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 31 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 32 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 33 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 34 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 35 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 36 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 37 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 38 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 39 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 40 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 41 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 42 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 43 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 44 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 45 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 46 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 47 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 48 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 49 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 50 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 51 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 52 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 53 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 54 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 55 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 56 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 57 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 58 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 59 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 60 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 61 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 62 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 63 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 64 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 65 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 66 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 67 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 68 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 69 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 70 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 71 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 72 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 73 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 74 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 75 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 76 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 77 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 78 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 79 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 80 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 81 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 82 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 83 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 84 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 85 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 86 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 87 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 88 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 89 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 90 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 91 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 92 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 93 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 94 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 95 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 96 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 97 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 98 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 99 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 100 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 101 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 102 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 103 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 104 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 105 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 106 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 107 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 108 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 109 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 110 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 111 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 112 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 113 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 114 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 115 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 116 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 117 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 118 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 119 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 120 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 121 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 122 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 123 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 124 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 125 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 126 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 127 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 128 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 129 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 130 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 131 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 132 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 133 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 134 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 135 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 136 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 137 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 138 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 139 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 140 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 141 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 142 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 143 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 144 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 145 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 146 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 147 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 148 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 149 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 150 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 151 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 152 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 153 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 154 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 155 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 156 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 157 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 158 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 159 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 160 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 161 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 162 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 163 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 164 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 165 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 166 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 167 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 168 	 Error : 0.248497 	 Accuracy : 0.368263
