2024-03-19 20:28:41 : scalar : MinMaxScalar
2024-03-19 20:28:41 : train test split : 0.25
2024-03-19 20:28:41 : random state : 15
2024-03-19 20:28:41 : epochs : 100
2024-03-19 20:28:41 : learning rate : 0.01
2024-03-19 20:28:41 : activation function : tanh
2024-03-19 20:28:41 : loss function : mean_squared_error
2024-03-19 20:28:41 : Optimizer : Adam

2024-03-19 20:28:41 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.29996 	 Accuracy : 0.79491
Epoch : 2 	 Error : 0.156261 	 Accuracy : 0.800898
Epoch : 3 	 Error : 0.1546 	 Accuracy : 0.803892
Epoch : 4 	 Error : 0.153594 	 Accuracy : 0.806886
Epoch : 5 	 Error : 0.152967 	 Accuracy : 0.812874
Epoch : 6 	 Error : 0.152128 	 Accuracy : 0.812874
Epoch : 7 	 Error : 0.150464 	 Accuracy : 0.814371
Epoch : 8 	 Error : 0.149382 	 Accuracy : 0.814371
Epoch : 9 	 Error : 0.148704 	 Accuracy : 0.814371
Epoch : 10 	 Error : 0.148185 	 Accuracy : 0.814371
Epoch : 11 	 Error : 0.147764 	 Accuracy : 0.815868
Epoch : 12 	 Error : 0.147598 	 Accuracy : 0.814371
Epoch : 13 	 Error : 0.147394 	 Accuracy : 0.80988
Epoch : 14 	 Error : 0.146432 	 Accuracy : 0.80988
Epoch : 15 	 Error : 0.145597 	 Accuracy : 0.811377
Epoch : 16 	 Error : 0.14582 	 Accuracy : 0.80988
Epoch : 17 	 Error : 0.146204 	 Accuracy : 0.808383
Epoch : 18 	 Error : 0.146122 	 Accuracy : 0.808383
Epoch : 19 	 Error : 0.145253 	 Accuracy : 0.80988
Epoch : 20 	 Error : 0.14498 	 Accuracy : 0.80988
Epoch : 21 	 Error : 0.145335 	 Accuracy : 0.811377
Epoch : 22 	 Error : 0.144562 	 Accuracy : 0.811377
Epoch : 23 	 Error : 0.145596 	 Accuracy : 0.812874
Epoch : 24 	 Error : 0.14558 	 Accuracy : 0.811377
Epoch : 25 	 Error : 0.144151 	 Accuracy : 0.811377
Epoch : 26 	 Error : 0.14356 	 Accuracy : 0.812874
Epoch : 27 	 Error : 0.143566 	 Accuracy : 0.811377
Epoch : 28 	 Error : 0.142859 	 Accuracy : 0.811377
Epoch : 29 	 Error : 0.142512 	 Accuracy : 0.811377
Epoch : 30 	 Error : 0.143595 	 Accuracy : 0.811377
Epoch : 31 	 Error : 0.143762 	 Accuracy : 0.811377
Epoch : 32 	 Error : 0.143489 	 Accuracy : 0.812874
Epoch : 33 	 Error : 0.141447 	 Accuracy : 0.815868
Epoch : 34 	 Error : 0.13966 	 Accuracy : 0.815868
Epoch : 35 	 Error : 0.139819 	 Accuracy : 0.817365
Epoch : 36 	 Error : 0.140793 	 Accuracy : 0.814371
Epoch : 37 	 Error : 0.144502 	 Accuracy : 0.817365
Epoch : 38 	 Error : 0.141153 	 Accuracy : 0.815868
Epoch : 39 	 Error : 0.141144 	 Accuracy : 0.814371
Epoch : 40 	 Error : 0.139563 	 Accuracy : 0.814371
