2024-03-19 20:28:45 : scalar : MinMaxScalar
2024-03-19 20:28:45 : train test split : 0.25
2024-03-19 20:28:45 : random state : 15
2024-03-19 20:28:45 : epochs : 100
2024-03-19 20:28:45 : learning rate : 0.01
2024-03-19 20:28:45 : activation function : relu
2024-03-19 20:28:45 : loss function : mean_squared_error
2024-03-19 20:28:45 : Optimizer : None

2024-03-19 20:28:45 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 1.124293 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 32 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 33 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 34 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 35 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 36 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 37 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 38 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 39 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 40 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 41 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 42 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 43 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 44 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 45 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 46 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 47 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 48 	 Error : 0.23235 	 Accuracy : 0.631737
Epoch : 49 	 Error : 0.23235 	 Accuracy : 0.631737
