2024-03-19 20:31:15 : scalar : MinMaxScalar
2024-03-19 20:31:15 : train test split : 0.25
2024-03-19 20:31:15 : random state : 15
2024-03-19 20:31:15 : epochs : 1000
2024-03-19 20:31:15 : learning rate : 0.01
2024-03-19 20:31:15 : activation function : sigmoid
2024-03-19 20:31:15 : loss function : mean_squared_error
2024-03-19 20:31:15 : Optimizer : AdaGrad

2024-03-19 20:31:15 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.979767 	 Accuracy : 0.368263
Epoch : 2 	 Error : 0.249027 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.230039 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.228297 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.227559 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.226895 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.226239 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.225584 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.224928 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.22427 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.223608 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.222941 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.222268 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.221587 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.220898 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.220199 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.219492 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.218775 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.218047 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.21731 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.216562 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.215804 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.215035 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.214256 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.213467 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.212668 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.211859 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.21104 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.210213 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.209376 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.20853 	 Accuracy : 0.633234
Epoch : 32 	 Error : 0.207676 	 Accuracy : 0.633234
Epoch : 33 	 Error : 0.206814 	 Accuracy : 0.636228
Epoch : 34 	 Error : 0.205944 	 Accuracy : 0.636228
Epoch : 35 	 Error : 0.205066 	 Accuracy : 0.637725
Epoch : 36 	 Error : 0.204182 	 Accuracy : 0.637725
Epoch : 37 	 Error : 0.203291 	 Accuracy : 0.642216
