2024-03-19 20:32:51 : scalar : MinMaxScalar
2024-03-19 20:32:51 : train test split : 0.25
2024-03-19 20:32:51 : random state : 15
2024-03-19 20:32:51 : epochs : 1000
2024-03-19 20:32:51 : learning rate : 0.01
2024-03-19 20:32:51 : activation function : tanh
2024-03-19 20:32:51 : loss function : mean_squared_error
2024-03-19 20:32:51 : Optimizer : None

2024-03-19 20:32:51 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.292172 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.238309 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.238187 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.238027 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.237811 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.2375 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.237019 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.236186 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.234476 	 Accuracy : 0.64521
Epoch : 10 	 Error : 0.229913 	 Accuracy : 0.676647
Epoch : 11 	 Error : 0.215998 	 Accuracy : 0.709581
Epoch : 12 	 Error : 0.188738 	 Accuracy : 0.796407
Epoch : 13 	 Error : 0.165896 	 Accuracy : 0.811377
Epoch : 14 	 Error : 0.159953 	 Accuracy : 0.814371
Epoch : 15 	 Error : 0.157316 	 Accuracy : 0.811377
Epoch : 16 	 Error : 0.15554 	 Accuracy : 0.811377
Epoch : 17 	 Error : 0.154234 	 Accuracy : 0.811377
Epoch : 18 	 Error : 0.153231 	 Accuracy : 0.811377
Epoch : 19 	 Error : 0.152436 	 Accuracy : 0.811377
Epoch : 20 	 Error : 0.15179 	 Accuracy : 0.811377
Epoch : 21 	 Error : 0.151253 	 Accuracy : 0.811377
Epoch : 22 	 Error : 0.1508 	 Accuracy : 0.812874
Epoch : 23 	 Error : 0.15041 	 Accuracy : 0.812874
Epoch : 24 	 Error : 0.15007 	 Accuracy : 0.811377
Epoch : 25 	 Error : 0.14977 	 Accuracy : 0.811377
Epoch : 26 	 Error : 0.149502 	 Accuracy : 0.811377
Epoch : 27 	 Error : 0.149261 	 Accuracy : 0.808383
Epoch : 28 	 Error : 0.149043 	 Accuracy : 0.80988
Epoch : 29 	 Error : 0.148843 	 Accuracy : 0.808383
Epoch : 30 	 Error : 0.148659 	 Accuracy : 0.808383
Epoch : 31 	 Error : 0.148489 	 Accuracy : 0.80988
Epoch : 32 	 Error : 0.148331 	 Accuracy : 0.811377
Epoch : 33 	 Error : 0.148184 	 Accuracy : 0.811377
Epoch : 34 	 Error : 0.148045 	 Accuracy : 0.80988
Epoch : 35 	 Error : 0.147915 	 Accuracy : 0.811377
Epoch : 36 	 Error : 0.147792 	 Accuracy : 0.811377
Epoch : 37 	 Error : 0.147675 	 Accuracy : 0.811377
Epoch : 38 	 Error : 0.147564 	 Accuracy : 0.811377
Epoch : 39 	 Error : 0.147459 	 Accuracy : 0.811377
Epoch : 40 	 Error : 0.147358 	 Accuracy : 0.812874
Epoch : 41 	 Error : 0.147261 	 Accuracy : 0.812874
Epoch : 42 	 Error : 0.147169 	 Accuracy : 0.812874
Epoch : 43 	 Error : 0.147079 	 Accuracy : 0.812874
Epoch : 44 	 Error : 0.146993 	 Accuracy : 0.812874
Epoch : 45 	 Error : 0.146909 	 Accuracy : 0.812874
Epoch : 46 	 Error : 0.146828 	 Accuracy : 0.811377
Epoch : 47 	 Error : 0.14675 	 Accuracy : 0.811377
Epoch : 48 	 Error : 0.146673 	 Accuracy : 0.811377
Epoch : 49 	 Error : 0.146598 	 Accuracy : 0.811377
Epoch : 50 	 Error : 0.146524 	 Accuracy : 0.811377
Epoch : 51 	 Error : 0.146452 	 Accuracy : 0.811377
Epoch : 52 	 Error : 0.14638 	 Accuracy : 0.812874
Epoch : 53 	 Error : 0.14631 	 Accuracy : 0.812874
Epoch : 54 	 Error : 0.14624 	 Accuracy : 0.812874
