2024-03-19 20:33:26 : scalar : MinMaxScalar
2024-03-19 20:33:26 : train test split : 0.25
2024-03-19 20:33:26 : random state : 15
2024-03-19 20:33:26 : epochs : 1000
2024-03-19 20:33:26 : learning rate : 0.01
2024-03-19 20:33:26 : activation function : tanh
2024-03-19 20:33:26 : loss function : mean_squared_error
2024-03-19 20:33:26 : Optimizer : SGDMomentum

2024-03-19 20:33:26 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.362588 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.337994 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.337781 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.336713 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.321235 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.243873 	 Accuracy : 0.773952
Epoch : 7 	 Error : 0.212281 	 Accuracy : 0.788922
Epoch : 8 	 Error : 0.210108 	 Accuracy : 0.808383
Epoch : 9 	 Error : 0.204435 	 Accuracy : 0.812874
Epoch : 10 	 Error : 0.201505 	 Accuracy : 0.811377
Epoch : 11 	 Error : 0.199559 	 Accuracy : 0.775449
Epoch : 12 	 Error : 0.189734 	 Accuracy : 0.748503
Epoch : 13 	 Error : 0.1873 	 Accuracy : 0.752994
Epoch : 14 	 Error : 0.186339 	 Accuracy : 0.760479
Epoch : 15 	 Error : 0.18565 	 Accuracy : 0.757485
Epoch : 16 	 Error : 0.185075 	 Accuracy : 0.758982
Epoch : 17 	 Error : 0.184547 	 Accuracy : 0.763473
Epoch : 18 	 Error : 0.184037 	 Accuracy : 0.76497
Epoch : 19 	 Error : 0.183532 	 Accuracy : 0.770958
Epoch : 20 	 Error : 0.183031 	 Accuracy : 0.769461
Epoch : 21 	 Error : 0.182538 	 Accuracy : 0.775449
Epoch : 22 	 Error : 0.182065 	 Accuracy : 0.773952
Epoch : 23 	 Error : 0.181617 	 Accuracy : 0.776946
Epoch : 24 	 Error : 0.181181 	 Accuracy : 0.766467
Epoch : 25 	 Error : 0.180566 	 Accuracy : 0.708084
Epoch : 26 	 Error : 0.172013 	 Accuracy : 0.723054
Epoch : 27 	 Error : 0.166378 	 Accuracy : 0.732036
Epoch : 28 	 Error : 0.165536 	 Accuracy : 0.715569
Epoch : 29 	 Error : 0.164645 	 Accuracy : 0.712575
Epoch : 30 	 Error : 0.164166 	 Accuracy : 0.711078
Epoch : 31 	 Error : 0.163867 	 Accuracy : 0.711078
Epoch : 32 	 Error : 0.163513 	 Accuracy : 0.712575
Epoch : 33 	 Error : 0.163193 	 Accuracy : 0.730539
Epoch : 34 	 Error : 0.162926 	 Accuracy : 0.733533
Epoch : 35 	 Error : 0.16272 	 Accuracy : 0.73503
Epoch : 36 	 Error : 0.162554 	 Accuracy : 0.736527
Epoch : 37 	 Error : 0.162392 	 Accuracy : 0.738024
Epoch : 38 	 Error : 0.162211 	 Accuracy : 0.738024
Epoch : 39 	 Error : 0.162014 	 Accuracy : 0.738024
Epoch : 40 	 Error : 0.161806 	 Accuracy : 0.744012
Epoch : 41 	 Error : 0.161595 	 Accuracy : 0.745509
Epoch : 42 	 Error : 0.16138 	 Accuracy : 0.747006
Epoch : 43 	 Error : 0.161159 	 Accuracy : 0.748503
Epoch : 44 	 Error : 0.160933 	 Accuracy : 0.744012
Epoch : 45 	 Error : 0.160702 	 Accuracy : 0.745509
Epoch : 46 	 Error : 0.160468 	 Accuracy : 0.747006
Epoch : 47 	 Error : 0.160235 	 Accuracy : 0.748503
Epoch : 48 	 Error : 0.160007 	 Accuracy : 0.751497
Epoch : 49 	 Error : 0.159784 	 Accuracy : 0.751497
Epoch : 50 	 Error : 0.159565 	 Accuracy : 0.752994
Epoch : 51 	 Error : 0.159347 	 Accuracy : 0.755988
Epoch : 52 	 Error : 0.159129 	 Accuracy : 0.757485
Epoch : 53 	 Error : 0.158909 	 Accuracy : 0.760479
Epoch : 54 	 Error : 0.158687 	 Accuracy : 0.758982
Epoch : 55 	 Error : 0.158462 	 Accuracy : 0.761976
Epoch : 56 	 Error : 0.158235 	 Accuracy : 0.763473
Epoch : 57 	 Error : 0.158009 	 Accuracy : 0.763473
Epoch : 58 	 Error : 0.157785 	 Accuracy : 0.769461
Epoch : 59 	 Error : 0.157564 	 Accuracy : 0.767964
Epoch : 60 	 Error : 0.157349 	 Accuracy : 0.769461
Epoch : 61 	 Error : 0.157143 	 Accuracy : 0.769461
Epoch : 62 	 Error : 0.156945 	 Accuracy : 0.769461
Epoch : 63 	 Error : 0.156759 	 Accuracy : 0.772455
Epoch : 64 	 Error : 0.156585 	 Accuracy : 0.772455
Epoch : 65 	 Error : 0.156424 	 Accuracy : 0.772455
Epoch : 66 	 Error : 0.156274 	 Accuracy : 0.772455
Epoch : 67 	 Error : 0.156137 	 Accuracy : 0.773952
Epoch : 68 	 Error : 0.156009 	 Accuracy : 0.773952
Epoch : 69 	 Error : 0.15589 	 Accuracy : 0.775449
Epoch : 70 	 Error : 0.155779 	 Accuracy : 0.776946
Epoch : 71 	 Error : 0.155673 	 Accuracy : 0.776946
