2024-03-19 20:37:54 : scalar : MinMaxScalar
2024-03-19 20:37:54 : train test split : 0.25
2024-03-19 20:37:54 : random state : 15
2024-03-19 20:37:54 : epochs : 1000
2024-03-19 20:37:54 : learning rate : 0.01
2024-03-19 20:37:54 : activation function : relu
2024-03-19 20:37:54 : loss function : mean_squared_error
2024-03-19 20:37:54 : Optimizer : Adam

2024-03-19 20:37:54 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 6.147235 	 Accuracy : 0.63024
Epoch : 2 	 Error : 0.217841 	 Accuracy : 0.678144
Epoch : 3 	 Error : 0.18128 	 Accuracy : 0.805389
Epoch : 4 	 Error : 0.156518 	 Accuracy : 0.791916
Epoch : 5 	 Error : 0.15083 	 Accuracy : 0.796407
Epoch : 6 	 Error : 0.151486 	 Accuracy : 0.800898
Epoch : 7 	 Error : 0.151751 	 Accuracy : 0.797904
Epoch : 8 	 Error : 0.151449 	 Accuracy : 0.808383
Epoch : 9 	 Error : 0.150625 	 Accuracy : 0.812874
Epoch : 10 	 Error : 0.150043 	 Accuracy : 0.815868
Epoch : 11 	 Error : 0.150421 	 Accuracy : 0.805389
Epoch : 12 	 Error : 0.149719 	 Accuracy : 0.80988
Epoch : 13 	 Error : 0.148332 	 Accuracy : 0.812874
Epoch : 14 	 Error : 0.146707 	 Accuracy : 0.811377
Epoch : 15 	 Error : 0.1466 	 Accuracy : 0.812874
Epoch : 16 	 Error : 0.145589 	 Accuracy : 0.814371
Epoch : 17 	 Error : 0.145736 	 Accuracy : 0.815868
Epoch : 18 	 Error : 0.1451 	 Accuracy : 0.80988
Epoch : 19 	 Error : 0.143297 	 Accuracy : 0.815868
Epoch : 20 	 Error : 0.14622 	 Accuracy : 0.812874
Epoch : 21 	 Error : 0.143442 	 Accuracy : 0.812874
Epoch : 22 	 Error : 0.142961 	 Accuracy : 0.827844
Epoch : 23 	 Error : 0.142647 	 Accuracy : 0.82485
Epoch : 24 	 Error : 0.142409 	 Accuracy : 0.817365
Epoch : 25 	 Error : 0.141687 	 Accuracy : 0.820359
Epoch : 26 	 Error : 0.141627 	 Accuracy : 0.827844
Epoch : 27 	 Error : 0.142547 	 Accuracy : 0.827844
Epoch : 28 	 Error : 0.141117 	 Accuracy : 0.830838
Epoch : 29 	 Error : 0.139243 	 Accuracy : 0.830838
Epoch : 30 	 Error : 0.14045 	 Accuracy : 0.826347
Epoch : 31 	 Error : 0.141182 	 Accuracy : 0.829341
Epoch : 32 	 Error : 0.1394 	 Accuracy : 0.826347
Epoch : 33 	 Error : 0.139357 	 Accuracy : 0.827844
Epoch : 34 	 Error : 0.139673 	 Accuracy : 0.827844
Epoch : 35 	 Error : 0.14039 	 Accuracy : 0.821856
Epoch : 36 	 Error : 0.139352 	 Accuracy : 0.829341
Epoch : 37 	 Error : 0.141333 	 Accuracy : 0.826347
Epoch : 38 	 Error : 0.139399 	 Accuracy : 0.826347
Epoch : 39 	 Error : 0.139822 	 Accuracy : 0.829341
Epoch : 40 	 Error : 0.139618 	 Accuracy : 0.830838
Epoch : 41 	 Error : 0.139024 	 Accuracy : 0.829341
Epoch : 42 	 Error : 0.139224 	 Accuracy : 0.829341
Epoch : 43 	 Error : 0.138527 	 Accuracy : 0.829341
Epoch : 44 	 Error : 0.138509 	 Accuracy : 0.829341
Epoch : 45 	 Error : 0.13825 	 Accuracy : 0.823353
Epoch : 46 	 Error : 0.140042 	 Accuracy : 0.823353
Epoch : 47 	 Error : 0.13844 	 Accuracy : 0.827844
Epoch : 48 	 Error : 0.137661 	 Accuracy : 0.826347
Epoch : 49 	 Error : 0.138512 	 Accuracy : 0.826347
Epoch : 50 	 Error : 0.141116 	 Accuracy : 0.82485
Epoch : 51 	 Error : 0.138086 	 Accuracy : 0.830838
Epoch : 52 	 Error : 0.136288 	 Accuracy : 0.827844
Epoch : 53 	 Error : 0.136953 	 Accuracy : 0.829341
Epoch : 54 	 Error : 0.136876 	 Accuracy : 0.829341
Epoch : 55 	 Error : 0.13732 	 Accuracy : 0.827844
Epoch : 56 	 Error : 0.137519 	 Accuracy : 0.832335
Epoch : 57 	 Error : 0.137736 	 Accuracy : 0.832335
Epoch : 58 	 Error : 0.137178 	 Accuracy : 0.830838
Epoch : 59 	 Error : 0.137049 	 Accuracy : 0.832335
Epoch : 60 	 Error : 0.137669 	 Accuracy : 0.832335
Epoch : 61 	 Error : 0.137137 	 Accuracy : 0.829341
Epoch : 62 	 Error : 0.137246 	 Accuracy : 0.827844
Epoch : 63 	 Error : 0.137906 	 Accuracy : 0.826347
Epoch : 64 	 Error : 0.137337 	 Accuracy : 0.830838
Epoch : 65 	 Error : 0.137029 	 Accuracy : 0.830838
Epoch : 66 	 Error : 0.140183 	 Accuracy : 0.826347
Epoch : 67 	 Error : 0.136679 	 Accuracy : 0.832335
Epoch : 68 	 Error : 0.137355 	 Accuracy : 0.823353
Epoch : 69 	 Error : 0.136096 	 Accuracy : 0.830838
Epoch : 70 	 Error : 0.138565 	 Accuracy : 0.829341
Epoch : 71 	 Error : 0.135555 	 Accuracy : 0.82485
Epoch : 72 	 Error : 0.134081 	 Accuracy : 0.829341
Epoch : 73 	 Error : 0.136199 	 Accuracy : 0.82485
Epoch : 74 	 Error : 0.134273 	 Accuracy : 0.827844
Epoch : 75 	 Error : 0.132628 	 Accuracy : 0.832335
Epoch : 76 	 Error : 0.135062 	 Accuracy : 0.827844
Epoch : 77 	 Error : 0.13729 	 Accuracy : 0.800898
Epoch : 78 	 Error : 0.13821 	 Accuracy : 0.829341
Epoch : 79 	 Error : 0.14136 	 Accuracy : 0.829341
Epoch : 80 	 Error : 0.136191 	 Accuracy : 0.818862
Epoch : 81 	 Error : 0.138771 	 Accuracy : 0.823353
Epoch : 82 	 Error : 0.137059 	 Accuracy : 0.826347
Epoch : 83 	 Error : 0.135729 	 Accuracy : 0.829341
Epoch : 84 	 Error : 0.135319 	 Accuracy : 0.827844
Epoch : 85 	 Error : 0.13399 	 Accuracy : 0.833832
Epoch : 86 	 Error : 0.134191 	 Accuracy : 0.821856
Epoch : 87 	 Error : 0.134326 	 Accuracy : 0.817365
Epoch : 88 	 Error : 0.134648 	 Accuracy : 0.82485
Epoch : 89 	 Error : 0.135971 	 Accuracy : 0.827844
Epoch : 90 	 Error : 0.134323 	 Accuracy : 0.82485
Epoch : 91 	 Error : 0.134121 	 Accuracy : 0.827844
Epoch : 92 	 Error : 0.133848 	 Accuracy : 0.818862
Epoch : 93 	 Error : 0.132709 	 Accuracy : 0.823353
Epoch : 94 	 Error : 0.133044 	 Accuracy : 0.823353
Epoch : 95 	 Error : 0.134683 	 Accuracy : 0.832335
Epoch : 96 	 Error : 0.132125 	 Accuracy : 0.823353
Epoch : 97 	 Error : 0.132486 	 Accuracy : 0.82485
Epoch : 98 	 Error : 0.131155 	 Accuracy : 0.82485
Epoch : 99 	 Error : 0.13111 	 Accuracy : 0.821856
Epoch : 100 	 Error : 0.131136 	 Accuracy : 0.812874
Epoch : 101 	 Error : 0.131154 	 Accuracy : 0.818862
Epoch : 102 	 Error : 0.133326 	 Accuracy : 0.827844
Epoch : 103 	 Error : 0.136484 	 Accuracy : 0.790419
Epoch : 104 	 Error : 0.132739 	 Accuracy : 0.793413
Epoch : 105 	 Error : 0.132326 	 Accuracy : 0.797904
Epoch : 106 	 Error : 0.130896 	 Accuracy : 0.79491
Epoch : 107 	 Error : 0.132104 	 Accuracy : 0.790419
Epoch : 108 	 Error : 0.13262 	 Accuracy : 0.802395
Epoch : 109 	 Error : 0.131987 	 Accuracy : 0.817365
Epoch : 110 	 Error : 0.131512 	 Accuracy : 0.811377
Epoch : 111 	 Error : 0.131644 	 Accuracy : 0.80988
Epoch : 112 	 Error : 0.131421 	 Accuracy : 0.811377
Epoch : 113 	 Error : 0.132219 	 Accuracy : 0.80988
Epoch : 114 	 Error : 0.131632 	 Accuracy : 0.821856
Epoch : 115 	 Error : 0.132665 	 Accuracy : 0.812874
Epoch : 116 	 Error : 0.132393 	 Accuracy : 0.808383
Epoch : 117 	 Error : 0.132484 	 Accuracy : 0.811377
Epoch : 118 	 Error : 0.131961 	 Accuracy : 0.820359
Epoch : 119 	 Error : 0.132383 	 Accuracy : 0.812874
Epoch : 120 	 Error : 0.131137 	 Accuracy : 0.821856
Epoch : 121 	 Error : 0.132017 	 Accuracy : 0.820359
Epoch : 122 	 Error : 0.13172 	 Accuracy : 0.818862
Epoch : 123 	 Error : 0.131988 	 Accuracy : 0.818862
Epoch : 124 	 Error : 0.130614 	 Accuracy : 0.817365
Epoch : 125 	 Error : 0.129228 	 Accuracy : 0.814371
Epoch : 126 	 Error : 0.128815 	 Accuracy : 0.818862
Epoch : 127 	 Error : 0.128947 	 Accuracy : 0.823353
Epoch : 128 	 Error : 0.131169 	 Accuracy : 0.82485
Epoch : 129 	 Error : 0.128517 	 Accuracy : 0.823353
Epoch : 130 	 Error : 0.132789 	 Accuracy : 0.820359
Epoch : 131 	 Error : 0.129641 	 Accuracy : 0.818862
Epoch : 132 	 Error : 0.131055 	 Accuracy : 0.832335
Epoch : 133 	 Error : 0.131029 	 Accuracy : 0.833832
Epoch : 134 	 Error : 0.134446 	 Accuracy : 0.830838
Epoch : 135 	 Error : 0.132268 	 Accuracy : 0.836826
Epoch : 136 	 Error : 0.129408 	 Accuracy : 0.830838
Epoch : 137 	 Error : 0.133059 	 Accuracy : 0.832335
Epoch : 138 	 Error : 0.133911 	 Accuracy : 0.830838
Epoch : 139 	 Error : 0.131741 	 Accuracy : 0.82485
Epoch : 140 	 Error : 0.13047 	 Accuracy : 0.835329
Epoch : 141 	 Error : 0.128036 	 Accuracy : 0.833832
Epoch : 142 	 Error : 0.130726 	 Accuracy : 0.836826
Epoch : 143 	 Error : 0.133371 	 Accuracy : 0.829341
Epoch : 144 	 Error : 0.132567 	 Accuracy : 0.827844
Epoch : 145 	 Error : 0.132793 	 Accuracy : 0.836826
Epoch : 146 	 Error : 0.133656 	 Accuracy : 0.830838
Epoch : 147 	 Error : 0.135144 	 Accuracy : 0.836826
Epoch : 148 	 Error : 0.132621 	 Accuracy : 0.835329
Epoch : 149 	 Error : 0.132356 	 Accuracy : 0.827844
Epoch : 150 	 Error : 0.132947 	 Accuracy : 0.832335
Epoch : 151 	 Error : 0.13322 	 Accuracy : 0.829341
Epoch : 152 	 Error : 0.134336 	 Accuracy : 0.835329
Epoch : 153 	 Error : 0.133452 	 Accuracy : 0.826347
Epoch : 154 	 Error : 0.135954 	 Accuracy : 0.832335
Epoch : 155 	 Error : 0.133 	 Accuracy : 0.833832
Epoch : 156 	 Error : 0.133758 	 Accuracy : 0.826347
Epoch : 157 	 Error : 0.133964 	 Accuracy : 0.832335
Epoch : 158 	 Error : 0.132227 	 Accuracy : 0.827844
Epoch : 159 	 Error : 0.133551 	 Accuracy : 0.830838
Epoch : 160 	 Error : 0.132975 	 Accuracy : 0.832335
Epoch : 161 	 Error : 0.134194 	 Accuracy : 0.832335
Epoch : 162 	 Error : 0.132859 	 Accuracy : 0.826347
Epoch : 163 	 Error : 0.133972 	 Accuracy : 0.832335
Epoch : 164 	 Error : 0.132863 	 Accuracy : 0.833832
Epoch : 165 	 Error : 0.132658 	 Accuracy : 0.832335
Epoch : 166 	 Error : 0.134502 	 Accuracy : 0.833832
Epoch : 167 	 Error : 0.136075 	 Accuracy : 0.829341
Epoch : 168 	 Error : 0.133272 	 Accuracy : 0.835329
Epoch : 169 	 Error : 0.13447 	 Accuracy : 0.835329
Epoch : 170 	 Error : 0.137081 	 Accuracy : 0.826347
Epoch : 171 	 Error : 0.132947 	 Accuracy : 0.830838
Epoch : 172 	 Error : 0.134094 	 Accuracy : 0.832335
Epoch : 173 	 Error : 0.133289 	 Accuracy : 0.832335
Epoch : 174 	 Error : 0.134134 	 Accuracy : 0.833832
Epoch : 175 	 Error : 0.13299 	 Accuracy : 0.829341
Epoch : 176 	 Error : 0.133226 	 Accuracy : 0.832335
Epoch : 177 	 Error : 0.132211 	 Accuracy : 0.832335
Epoch : 178 	 Error : 0.132602 	 Accuracy : 0.832335
Epoch : 179 	 Error : 0.132576 	 Accuracy : 0.832335
Epoch : 180 	 Error : 0.131587 	 Accuracy : 0.832335
Epoch : 181 	 Error : 0.131869 	 Accuracy : 0.830838
Epoch : 182 	 Error : 0.130519 	 Accuracy : 0.827844
Epoch : 183 	 Error : 0.131268 	 Accuracy : 0.835329
Epoch : 184 	 Error : 0.131329 	 Accuracy : 0.835329
Epoch : 185 	 Error : 0.132515 	 Accuracy : 0.833832
Epoch : 186 	 Error : 0.132753 	 Accuracy : 0.829341
Epoch : 187 	 Error : 0.132691 	 Accuracy : 0.830838
Epoch : 188 	 Error : 0.131612 	 Accuracy : 0.835329
Epoch : 189 	 Error : 0.132108 	 Accuracy : 0.830838
Epoch : 190 	 Error : 0.132535 	 Accuracy : 0.838323
Epoch : 191 	 Error : 0.131913 	 Accuracy : 0.827844
Epoch : 192 	 Error : 0.134689 	 Accuracy : 0.835329
Epoch : 193 	 Error : 0.131302 	 Accuracy : 0.833832
Epoch : 194 	 Error : 0.129643 	 Accuracy : 0.832335
Epoch : 195 	 Error : 0.132087 	 Accuracy : 0.838323
Epoch : 196 	 Error : 0.133215 	 Accuracy : 0.829341
Epoch : 197 	 Error : 0.132051 	 Accuracy : 0.835329
Epoch : 198 	 Error : 0.131561 	 Accuracy : 0.836826
Epoch : 199 	 Error : 0.132243 	 Accuracy : 0.832335
Epoch : 200 	 Error : 0.132157 	 Accuracy : 0.832335
Epoch : 201 	 Error : 0.131998 	 Accuracy : 0.832335
Epoch : 202 	 Error : 0.132224 	 Accuracy : 0.832335
Epoch : 203 	 Error : 0.131975 	 Accuracy : 0.833832
Epoch : 204 	 Error : 0.131834 	 Accuracy : 0.835329
Epoch : 205 	 Error : 0.133233 	 Accuracy : 0.829341
Epoch : 206 	 Error : 0.130766 	 Accuracy : 0.826347
Epoch : 207 	 Error : 0.131348 	 Accuracy : 0.833832
Epoch : 208 	 Error : 0.132569 	 Accuracy : 0.829341
Epoch : 209 	 Error : 0.131318 	 Accuracy : 0.833832
Epoch : 210 	 Error : 0.131576 	 Accuracy : 0.830838
Epoch : 211 	 Error : 0.130932 	 Accuracy : 0.830838
Epoch : 212 	 Error : 0.131037 	 Accuracy : 0.830838
Epoch : 213 	 Error : 0.130862 	 Accuracy : 0.827844
Epoch : 214 	 Error : 0.130314 	 Accuracy : 0.829341
Epoch : 215 	 Error : 0.131615 	 Accuracy : 0.829341
Epoch : 216 	 Error : 0.13122 	 Accuracy : 0.830838
Epoch : 217 	 Error : 0.130735 	 Accuracy : 0.832335
Epoch : 218 	 Error : 0.129947 	 Accuracy : 0.830838
Epoch : 219 	 Error : 0.130667 	 Accuracy : 0.830838
Epoch : 220 	 Error : 0.130531 	 Accuracy : 0.832335
Epoch : 221 	 Error : 0.133349 	 Accuracy : 0.829341
Epoch : 222 	 Error : 0.131497 	 Accuracy : 0.830838
Epoch : 223 	 Error : 0.129837 	 Accuracy : 0.830838
Epoch : 224 	 Error : 0.13078 	 Accuracy : 0.829341
Epoch : 225 	 Error : 0.131478 	 Accuracy : 0.827844
Epoch : 226 	 Error : 0.131828 	 Accuracy : 0.829341
Epoch : 227 	 Error : 0.13033 	 Accuracy : 0.827844
Epoch : 228 	 Error : 0.131387 	 Accuracy : 0.829341
Epoch : 229 	 Error : 0.133558 	 Accuracy : 0.829341
Epoch : 230 	 Error : 0.132138 	 Accuracy : 0.827844
Epoch : 231 	 Error : 0.131217 	 Accuracy : 0.829341
Epoch : 232 	 Error : 0.130738 	 Accuracy : 0.830838
Epoch : 233 	 Error : 0.131345 	 Accuracy : 0.830838
Epoch : 234 	 Error : 0.131188 	 Accuracy : 0.830838
Epoch : 235 	 Error : 0.13257 	 Accuracy : 0.830838
Epoch : 236 	 Error : 0.128774 	 Accuracy : 0.832335
Epoch : 237 	 Error : 0.133913 	 Accuracy : 0.830838
Epoch : 238 	 Error : 0.132004 	 Accuracy : 0.830838
Epoch : 239 	 Error : 0.131286 	 Accuracy : 0.826347
Epoch : 240 	 Error : 0.130373 	 Accuracy : 0.829341
Epoch : 241 	 Error : 0.130688 	 Accuracy : 0.830838
Epoch : 242 	 Error : 0.130744 	 Accuracy : 0.82485
Epoch : 243 	 Error : 0.131929 	 Accuracy : 0.829341
