2024-03-19 20:39:48 : scalar : MinMaxScalar
2024-03-19 20:39:48 : train test split : 0.25
2024-03-19 20:39:48 : random state : 15
2024-03-19 20:39:48 : epochs : 1000
2024-03-19 20:39:48 : learning rate : 0.001
2024-03-19 20:39:48 : activation function : sigmoid
2024-03-19 20:39:48 : loss function : mean_squared_error
2024-03-19 20:39:48 : Optimizer : None

2024-03-19 20:39:48 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.343138 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.232635 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.232637 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.232634 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.232631 	 Accuracy : 0.631737
Epoch : 6 	 Error : 0.232628 	 Accuracy : 0.631737
Epoch : 7 	 Error : 0.232624 	 Accuracy : 0.631737
Epoch : 8 	 Error : 0.232621 	 Accuracy : 0.631737
Epoch : 9 	 Error : 0.232618 	 Accuracy : 0.631737
Epoch : 10 	 Error : 0.232615 	 Accuracy : 0.631737
Epoch : 11 	 Error : 0.232611 	 Accuracy : 0.631737
Epoch : 12 	 Error : 0.232608 	 Accuracy : 0.631737
Epoch : 13 	 Error : 0.232605 	 Accuracy : 0.631737
Epoch : 14 	 Error : 0.232602 	 Accuracy : 0.631737
Epoch : 15 	 Error : 0.232598 	 Accuracy : 0.631737
Epoch : 16 	 Error : 0.232595 	 Accuracy : 0.631737
Epoch : 17 	 Error : 0.232592 	 Accuracy : 0.631737
Epoch : 18 	 Error : 0.232589 	 Accuracy : 0.631737
Epoch : 19 	 Error : 0.232585 	 Accuracy : 0.631737
Epoch : 20 	 Error : 0.232582 	 Accuracy : 0.631737
Epoch : 21 	 Error : 0.232579 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.232576 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.232572 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.232569 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.232566 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.232563 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.232559 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.232556 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.232553 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.23255 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.232547 	 Accuracy : 0.631737
Epoch : 32 	 Error : 0.232543 	 Accuracy : 0.631737
Epoch : 33 	 Error : 0.23254 	 Accuracy : 0.631737
Epoch : 34 	 Error : 0.232537 	 Accuracy : 0.631737
Epoch : 35 	 Error : 0.232534 	 Accuracy : 0.631737
Epoch : 36 	 Error : 0.232531 	 Accuracy : 0.631737
Epoch : 37 	 Error : 0.232527 	 Accuracy : 0.631737
Epoch : 38 	 Error : 0.232524 	 Accuracy : 0.631737
Epoch : 39 	 Error : 0.232521 	 Accuracy : 0.631737
Epoch : 40 	 Error : 0.232518 	 Accuracy : 0.631737
Epoch : 41 	 Error : 0.232515 	 Accuracy : 0.631737
Epoch : 42 	 Error : 0.232511 	 Accuracy : 0.631737
Epoch : 43 	 Error : 0.232508 	 Accuracy : 0.631737
Epoch : 44 	 Error : 0.232505 	 Accuracy : 0.631737
Epoch : 45 	 Error : 0.232502 	 Accuracy : 0.631737
Epoch : 46 	 Error : 0.232499 	 Accuracy : 0.631737
Epoch : 47 	 Error : 0.232495 	 Accuracy : 0.631737
Epoch : 48 	 Error : 0.232492 	 Accuracy : 0.631737
Epoch : 49 	 Error : 0.232489 	 Accuracy : 0.631737
Epoch : 50 	 Error : 0.232486 	 Accuracy : 0.631737
Epoch : 51 	 Error : 0.232483 	 Accuracy : 0.631737
Epoch : 52 	 Error : 0.23248 	 Accuracy : 0.631737
Epoch : 53 	 Error : 0.232476 	 Accuracy : 0.631737
Epoch : 54 	 Error : 0.232473 	 Accuracy : 0.631737
Epoch : 55 	 Error : 0.23247 	 Accuracy : 0.631737
Epoch : 56 	 Error : 0.232467 	 Accuracy : 0.631737
Epoch : 57 	 Error : 0.232464 	 Accuracy : 0.631737
Epoch : 58 	 Error : 0.23246 	 Accuracy : 0.631737
Epoch : 59 	 Error : 0.232457 	 Accuracy : 0.631737
Epoch : 60 	 Error : 0.232454 	 Accuracy : 0.631737
