2024-03-19 20:40:33 : scalar : MinMaxScalar
2024-03-19 20:40:33 : train test split : 0.25
2024-03-19 20:40:33 : random state : 15
2024-03-19 20:40:33 : epochs : 1000
2024-03-19 20:40:33 : learning rate : 0.001
2024-03-19 20:40:33 : activation function : sigmoid
2024-03-19 20:40:33 : loss function : mean_squared_error
2024-03-19 20:40:33 : Optimizer : SGDMomentum

2024-03-19 20:40:33 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.374737 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.321789 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.315052 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.307003 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.282392 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.268152 	 Accuracy : 0.368263
Epoch : 7 	 Error : 0.260991 	 Accuracy : 0.368263
Epoch : 8 	 Error : 0.245885 	 Accuracy : 0.393713
Epoch : 9 	 Error : 0.209327 	 Accuracy : 0.782934
Epoch : 10 	 Error : 0.17497 	 Accuracy : 0.785928
Epoch : 11 	 Error : 0.167388 	 Accuracy : 0.793413
Epoch : 12 	 Error : 0.16449 	 Accuracy : 0.791916
Epoch : 13 	 Error : 0.163017 	 Accuracy : 0.796407
Epoch : 14 	 Error : 0.162097 	 Accuracy : 0.796407
Epoch : 15 	 Error : 0.16143 	 Accuracy : 0.796407
Epoch : 16 	 Error : 0.160896 	 Accuracy : 0.796407
Epoch : 17 	 Error : 0.160437 	 Accuracy : 0.796407
Epoch : 18 	 Error : 0.160027 	 Accuracy : 0.796407
Epoch : 19 	 Error : 0.15965 	 Accuracy : 0.796407
Epoch : 20 	 Error : 0.159301 	 Accuracy : 0.796407
Epoch : 21 	 Error : 0.158976 	 Accuracy : 0.796407
Epoch : 22 	 Error : 0.158673 	 Accuracy : 0.796407
Epoch : 23 	 Error : 0.158391 	 Accuracy : 0.796407
Epoch : 24 	 Error : 0.158129 	 Accuracy : 0.796407
Epoch : 25 	 Error : 0.157884 	 Accuracy : 0.796407
Epoch : 26 	 Error : 0.157655 	 Accuracy : 0.79491
Epoch : 27 	 Error : 0.157442 	 Accuracy : 0.79491
Epoch : 28 	 Error : 0.157242 	 Accuracy : 0.79491
Epoch : 29 	 Error : 0.157054 	 Accuracy : 0.793413
Epoch : 30 	 Error : 0.156878 	 Accuracy : 0.793413
Epoch : 31 	 Error : 0.156712 	 Accuracy : 0.793413
Epoch : 32 	 Error : 0.156555 	 Accuracy : 0.793413
Epoch : 33 	 Error : 0.156407 	 Accuracy : 0.793413
Epoch : 34 	 Error : 0.156267 	 Accuracy : 0.79491
Epoch : 35 	 Error : 0.156134 	 Accuracy : 0.79491
Epoch : 36 	 Error : 0.156008 	 Accuracy : 0.796407
Epoch : 37 	 Error : 0.155889 	 Accuracy : 0.796407
Epoch : 38 	 Error : 0.155775 	 Accuracy : 0.796407
Epoch : 39 	 Error : 0.155666 	 Accuracy : 0.79491
Epoch : 40 	 Error : 0.155563 	 Accuracy : 0.79491
Epoch : 41 	 Error : 0.155464 	 Accuracy : 0.79491
Epoch : 42 	 Error : 0.15537 	 Accuracy : 0.796407
Epoch : 43 	 Error : 0.15528 	 Accuracy : 0.796407
Epoch : 44 	 Error : 0.155194 	 Accuracy : 0.796407
Epoch : 45 	 Error : 0.155111 	 Accuracy : 0.79491
Epoch : 46 	 Error : 0.155032 	 Accuracy : 0.79491
Epoch : 47 	 Error : 0.154956 	 Accuracy : 0.79491
Epoch : 48 	 Error : 0.154882 	 Accuracy : 0.79491
Epoch : 49 	 Error : 0.154812 	 Accuracy : 0.79491
Epoch : 50 	 Error : 0.154745 	 Accuracy : 0.79491
Epoch : 51 	 Error : 0.154679 	 Accuracy : 0.79491
Epoch : 52 	 Error : 0.154617 	 Accuracy : 0.79491
Epoch : 53 	 Error : 0.154556 	 Accuracy : 0.79491
Epoch : 54 	 Error : 0.154498 	 Accuracy : 0.79491
Epoch : 55 	 Error : 0.154441 	 Accuracy : 0.79491
Epoch : 56 	 Error : 0.154386 	 Accuracy : 0.79491
Epoch : 57 	 Error : 0.154333 	 Accuracy : 0.796407
Epoch : 58 	 Error : 0.154282 	 Accuracy : 0.796407
Epoch : 59 	 Error : 0.154232 	 Accuracy : 0.79491
Epoch : 60 	 Error : 0.154184 	 Accuracy : 0.797904
Epoch : 61 	 Error : 0.154137 	 Accuracy : 0.796407
Epoch : 62 	 Error : 0.154091 	 Accuracy : 0.796407
Epoch : 63 	 Error : 0.154047 	 Accuracy : 0.79491
Epoch : 64 	 Error : 0.154004 	 Accuracy : 0.79491
Epoch : 65 	 Error : 0.153961 	 Accuracy : 0.793413
Epoch : 66 	 Error : 0.15392 	 Accuracy : 0.79491
Epoch : 67 	 Error : 0.15388 	 Accuracy : 0.79491
Epoch : 68 	 Error : 0.15384 	 Accuracy : 0.79491
Epoch : 69 	 Error : 0.153801 	 Accuracy : 0.79491
Epoch : 70 	 Error : 0.153763 	 Accuracy : 0.79491
Epoch : 71 	 Error : 0.153726 	 Accuracy : 0.79491
Epoch : 72 	 Error : 0.15369 	 Accuracy : 0.796407
Epoch : 73 	 Error : 0.153654 	 Accuracy : 0.796407
Epoch : 74 	 Error : 0.153618 	 Accuracy : 0.796407
Epoch : 75 	 Error : 0.153583 	 Accuracy : 0.79491
Epoch : 76 	 Error : 0.153549 	 Accuracy : 0.79491
Epoch : 77 	 Error : 0.153515 	 Accuracy : 0.796407
Epoch : 78 	 Error : 0.153481 	 Accuracy : 0.796407
Epoch : 79 	 Error : 0.153448 	 Accuracy : 0.796407
Epoch : 80 	 Error : 0.153415 	 Accuracy : 0.796407
Epoch : 81 	 Error : 0.153382 	 Accuracy : 0.796407
Epoch : 82 	 Error : 0.15335 	 Accuracy : 0.79491
Epoch : 83 	 Error : 0.153317 	 Accuracy : 0.79491
Epoch : 84 	 Error : 0.153286 	 Accuracy : 0.79491
Epoch : 85 	 Error : 0.153254 	 Accuracy : 0.79491
Epoch : 86 	 Error : 0.153222 	 Accuracy : 0.79491
Epoch : 87 	 Error : 0.153191 	 Accuracy : 0.793413
Epoch : 88 	 Error : 0.15316 	 Accuracy : 0.79491
Epoch : 89 	 Error : 0.153129 	 Accuracy : 0.79491
Epoch : 90 	 Error : 0.153098 	 Accuracy : 0.79491
Epoch : 91 	 Error : 0.153067 	 Accuracy : 0.79491
Epoch : 92 	 Error : 0.153036 	 Accuracy : 0.79491
Epoch : 93 	 Error : 0.153006 	 Accuracy : 0.79491
