2024-03-19 20:45:07 : scalar : MinMaxScalar
2024-03-19 20:45:07 : train test split : 0.25
2024-03-19 20:45:07 : random state : 15
2024-03-19 20:45:07 : epochs : 1000
2024-03-19 20:45:07 : learning rate : 0.001
2024-03-19 20:45:07 : activation function : tanh
2024-03-19 20:45:07 : loss function : mean_squared_error
2024-03-19 20:45:07 : Optimizer : Adam

2024-03-19 20:45:07 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.461656 	 Accuracy : 0.790419
Epoch : 2 	 Error : 0.15254 	 Accuracy : 0.797904
Epoch : 3 	 Error : 0.151629 	 Accuracy : 0.799401
Epoch : 4 	 Error : 0.1506 	 Accuracy : 0.800898
Epoch : 5 	 Error : 0.149427 	 Accuracy : 0.808383
Epoch : 6 	 Error : 0.148688 	 Accuracy : 0.811377
Epoch : 7 	 Error : 0.147871 	 Accuracy : 0.812874
Epoch : 8 	 Error : 0.147294 	 Accuracy : 0.811377
Epoch : 9 	 Error : 0.147053 	 Accuracy : 0.811377
Epoch : 10 	 Error : 0.14687 	 Accuracy : 0.80988
Epoch : 11 	 Error : 0.146604 	 Accuracy : 0.811377
Epoch : 12 	 Error : 0.146213 	 Accuracy : 0.811377
Epoch : 13 	 Error : 0.145632 	 Accuracy : 0.80988
Epoch : 14 	 Error : 0.145062 	 Accuracy : 0.811377
Epoch : 15 	 Error : 0.144438 	 Accuracy : 0.811377
Epoch : 16 	 Error : 0.143628 	 Accuracy : 0.812874
Epoch : 17 	 Error : 0.142672 	 Accuracy : 0.811377
Epoch : 18 	 Error : 0.141916 	 Accuracy : 0.811377
Epoch : 19 	 Error : 0.141474 	 Accuracy : 0.811377
Epoch : 20 	 Error : 0.141264 	 Accuracy : 0.814371
Epoch : 21 	 Error : 0.14126 	 Accuracy : 0.823353
Epoch : 22 	 Error : 0.141353 	 Accuracy : 0.823353
Epoch : 23 	 Error : 0.141432 	 Accuracy : 0.823353
Epoch : 24 	 Error : 0.141348 	 Accuracy : 0.821856
Epoch : 25 	 Error : 0.14043 	 Accuracy : 0.823353
Epoch : 26 	 Error : 0.141991 	 Accuracy : 0.82485
Epoch : 27 	 Error : 0.14125 	 Accuracy : 0.821856
Epoch : 28 	 Error : 0.140731 	 Accuracy : 0.821856
Epoch : 29 	 Error : 0.140351 	 Accuracy : 0.826347
Epoch : 30 	 Error : 0.14069 	 Accuracy : 0.82485
Epoch : 31 	 Error : 0.140513 	 Accuracy : 0.82485
Epoch : 32 	 Error : 0.140234 	 Accuracy : 0.817365
Epoch : 33 	 Error : 0.139587 	 Accuracy : 0.820359
Epoch : 34 	 Error : 0.138823 	 Accuracy : 0.826347
Epoch : 35 	 Error : 0.136951 	 Accuracy : 0.821856
Epoch : 36 	 Error : 0.135708 	 Accuracy : 0.82485
Epoch : 37 	 Error : 0.136248 	 Accuracy : 0.82485
Epoch : 38 	 Error : 0.136227 	 Accuracy : 0.821856
Epoch : 39 	 Error : 0.137443 	 Accuracy : 0.821856
Epoch : 40 	 Error : 0.137071 	 Accuracy : 0.821856
Epoch : 41 	 Error : 0.136489 	 Accuracy : 0.821856
Epoch : 42 	 Error : 0.135725 	 Accuracy : 0.821856
Epoch : 43 	 Error : 0.135283 	 Accuracy : 0.82485
Epoch : 44 	 Error : 0.134965 	 Accuracy : 0.82485
Epoch : 45 	 Error : 0.134912 	 Accuracy : 0.82485
Epoch : 46 	 Error : 0.134108 	 Accuracy : 0.82485
Epoch : 47 	 Error : 0.134412 	 Accuracy : 0.826347
Epoch : 48 	 Error : 0.13434 	 Accuracy : 0.826347
Epoch : 49 	 Error : 0.134268 	 Accuracy : 0.826347
Epoch : 50 	 Error : 0.134663 	 Accuracy : 0.829341
Epoch : 51 	 Error : 0.135236 	 Accuracy : 0.827844
Epoch : 52 	 Error : 0.133751 	 Accuracy : 0.826347
Epoch : 53 	 Error : 0.133606 	 Accuracy : 0.827844
Epoch : 54 	 Error : 0.133324 	 Accuracy : 0.827844
Epoch : 55 	 Error : 0.132718 	 Accuracy : 0.82485
Epoch : 56 	 Error : 0.132378 	 Accuracy : 0.827844
Epoch : 57 	 Error : 0.13133 	 Accuracy : 0.827844
Epoch : 58 	 Error : 0.130197 	 Accuracy : 0.826347
Epoch : 59 	 Error : 0.130015 	 Accuracy : 0.826347
Epoch : 60 	 Error : 0.129789 	 Accuracy : 0.827844
Epoch : 61 	 Error : 0.129857 	 Accuracy : 0.833832
Epoch : 62 	 Error : 0.131678 	 Accuracy : 0.835329
Epoch : 63 	 Error : 0.130053 	 Accuracy : 0.838323
Epoch : 64 	 Error : 0.128779 	 Accuracy : 0.835329
Epoch : 65 	 Error : 0.1271 	 Accuracy : 0.836826
Epoch : 66 	 Error : 0.127599 	 Accuracy : 0.838323
Epoch : 67 	 Error : 0.125583 	 Accuracy : 0.836826
Epoch : 68 	 Error : 0.126781 	 Accuracy : 0.835329
Epoch : 69 	 Error : 0.124654 	 Accuracy : 0.841317
Epoch : 70 	 Error : 0.125291 	 Accuracy : 0.83982
Epoch : 71 	 Error : 0.125443 	 Accuracy : 0.83982
Epoch : 72 	 Error : 0.126975 	 Accuracy : 0.836826
Epoch : 73 	 Error : 0.126183 	 Accuracy : 0.833832
Epoch : 74 	 Error : 0.123909 	 Accuracy : 0.841317
Epoch : 75 	 Error : 0.123034 	 Accuracy : 0.841317
Epoch : 76 	 Error : 0.124334 	 Accuracy : 0.83982
Epoch : 77 	 Error : 0.122732 	 Accuracy : 0.838323
Epoch : 78 	 Error : 0.124728 	 Accuracy : 0.838323
Epoch : 79 	 Error : 0.123204 	 Accuracy : 0.83982
Epoch : 80 	 Error : 0.124166 	 Accuracy : 0.83982
Epoch : 81 	 Error : 0.121386 	 Accuracy : 0.841317
Epoch : 82 	 Error : 0.121082 	 Accuracy : 0.841317
Epoch : 83 	 Error : 0.12096 	 Accuracy : 0.841317
Epoch : 84 	 Error : 0.121941 	 Accuracy : 0.842814
Epoch : 85 	 Error : 0.125418 	 Accuracy : 0.83982
Epoch : 86 	 Error : 0.121629 	 Accuracy : 0.842814
Epoch : 87 	 Error : 0.122828 	 Accuracy : 0.836826
Epoch : 88 	 Error : 0.122113 	 Accuracy : 0.841317
Epoch : 89 	 Error : 0.125967 	 Accuracy : 0.823353
Epoch : 90 	 Error : 0.12282 	 Accuracy : 0.841317
Epoch : 91 	 Error : 0.122467 	 Accuracy : 0.838323
Epoch : 92 	 Error : 0.122729 	 Accuracy : 0.838323
Epoch : 93 	 Error : 0.121224 	 Accuracy : 0.83982
Epoch : 94 	 Error : 0.121035 	 Accuracy : 0.836826
Epoch : 95 	 Error : 0.123282 	 Accuracy : 0.835329
Epoch : 96 	 Error : 0.122176 	 Accuracy : 0.841317
Epoch : 97 	 Error : 0.122032 	 Accuracy : 0.841317
Epoch : 98 	 Error : 0.120597 	 Accuracy : 0.842814
Epoch : 99 	 Error : 0.120747 	 Accuracy : 0.830838
Epoch : 100 	 Error : 0.121354 	 Accuracy : 0.836826
Epoch : 101 	 Error : 0.120572 	 Accuracy : 0.838323
Epoch : 102 	 Error : 0.121554 	 Accuracy : 0.836826
Epoch : 103 	 Error : 0.118757 	 Accuracy : 0.83982
Epoch : 104 	 Error : 0.120051 	 Accuracy : 0.833832
Epoch : 105 	 Error : 0.118987 	 Accuracy : 0.833832
Epoch : 106 	 Error : 0.119295 	 Accuracy : 0.836826
Epoch : 107 	 Error : 0.119826 	 Accuracy : 0.835329
Epoch : 108 	 Error : 0.119237 	 Accuracy : 0.841317
Epoch : 109 	 Error : 0.119136 	 Accuracy : 0.836826
Epoch : 110 	 Error : 0.118222 	 Accuracy : 0.845808
Epoch : 111 	 Error : 0.118562 	 Accuracy : 0.838323
Epoch : 112 	 Error : 0.116722 	 Accuracy : 0.847305
Epoch : 113 	 Error : 0.117565 	 Accuracy : 0.836826
Epoch : 114 	 Error : 0.118389 	 Accuracy : 0.842814
Epoch : 115 	 Error : 0.116701 	 Accuracy : 0.842814
Epoch : 116 	 Error : 0.118213 	 Accuracy : 0.842814
Epoch : 117 	 Error : 0.117504 	 Accuracy : 0.830838
Epoch : 118 	 Error : 0.117876 	 Accuracy : 0.842814
Epoch : 119 	 Error : 0.11622 	 Accuracy : 0.844311
Epoch : 120 	 Error : 0.117095 	 Accuracy : 0.841317
Epoch : 121 	 Error : 0.117666 	 Accuracy : 0.845808
Epoch : 122 	 Error : 0.116228 	 Accuracy : 0.842814
Epoch : 123 	 Error : 0.118218 	 Accuracy : 0.842814
Epoch : 124 	 Error : 0.122114 	 Accuracy : 0.842814
Epoch : 125 	 Error : 0.117963 	 Accuracy : 0.844311
Epoch : 126 	 Error : 0.115799 	 Accuracy : 0.841317
Epoch : 127 	 Error : 0.119057 	 Accuracy : 0.844311
Epoch : 128 	 Error : 0.116393 	 Accuracy : 0.844311
Epoch : 129 	 Error : 0.116546 	 Accuracy : 0.838323
Epoch : 130 	 Error : 0.120455 	 Accuracy : 0.842814
Epoch : 131 	 Error : 0.118423 	 Accuracy : 0.836826
Epoch : 132 	 Error : 0.118173 	 Accuracy : 0.836826
Epoch : 133 	 Error : 0.115135 	 Accuracy : 0.847305
Epoch : 134 	 Error : 0.119654 	 Accuracy : 0.845808
Epoch : 135 	 Error : 0.115482 	 Accuracy : 0.844311
Epoch : 136 	 Error : 0.116518 	 Accuracy : 0.836826
Epoch : 137 	 Error : 0.117335 	 Accuracy : 0.82485
Epoch : 138 	 Error : 0.120385 	 Accuracy : 0.845808
Epoch : 139 	 Error : 0.117401 	 Accuracy : 0.841317
Epoch : 140 	 Error : 0.115075 	 Accuracy : 0.842814
Epoch : 141 	 Error : 0.115777 	 Accuracy : 0.838323
Epoch : 142 	 Error : 0.116729 	 Accuracy : 0.844311
