2024-03-19 20:47:00 : scalar : MinMaxScalar
2024-03-19 20:47:00 : train test split : 0.25
2024-03-19 20:47:00 : random state : 15
2024-03-19 20:47:00 : epochs : 1000
2024-03-19 20:47:00 : learning rate : 0.001
2024-03-19 20:47:00 : activation function : relu
2024-03-19 20:47:00 : loss function : mean_squared_error
2024-03-19 20:47:00 : Optimizer : AdaGrad

2024-03-19 20:47:00 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 85.850294 	 Accuracy : 0.368263
Epoch : 2 	 Error : 10.844192 	 Accuracy : 0.368263
Epoch : 3 	 Error : 3.920653 	 Accuracy : 0.368263
Epoch : 4 	 Error : 2.152931 	 Accuracy : 0.368263
Epoch : 5 	 Error : 1.358316 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.922882 	 Accuracy : 0.35479
Epoch : 7 	 Error : 0.67021 	 Accuracy : 0.326347
Epoch : 8 	 Error : 0.518366 	 Accuracy : 0.321856
Epoch : 9 	 Error : 0.424923 	 Accuracy : 0.30988
Epoch : 10 	 Error : 0.366307 	 Accuracy : 0.272455
Epoch : 11 	 Error : 0.328442 	 Accuracy : 0.282934
Epoch : 12 	 Error : 0.303719 	 Accuracy : 0.306886
Epoch : 13 	 Error : 0.287416 	 Accuracy : 0.387725
Epoch : 14 	 Error : 0.276469 	 Accuracy : 0.443114
Epoch : 15 	 Error : 0.269051 	 Accuracy : 0.60479
Epoch : 16 	 Error : 0.263861 	 Accuracy : 0.613772
Epoch : 17 	 Error : 0.260018 	 Accuracy : 0.618263
Epoch : 18 	 Error : 0.25709 	 Accuracy : 0.624251
Epoch : 19 	 Error : 0.254827 	 Accuracy : 0.625749
Epoch : 20 	 Error : 0.252883 	 Accuracy : 0.625749
Epoch : 21 	 Error : 0.251127 	 Accuracy : 0.631737
Epoch : 22 	 Error : 0.24958 	 Accuracy : 0.631737
Epoch : 23 	 Error : 0.248185 	 Accuracy : 0.631737
Epoch : 24 	 Error : 0.246985 	 Accuracy : 0.631737
Epoch : 25 	 Error : 0.246045 	 Accuracy : 0.631737
Epoch : 26 	 Error : 0.245299 	 Accuracy : 0.631737
Epoch : 27 	 Error : 0.244691 	 Accuracy : 0.631737
Epoch : 28 	 Error : 0.244151 	 Accuracy : 0.631737
Epoch : 29 	 Error : 0.243628 	 Accuracy : 0.631737
Epoch : 30 	 Error : 0.243109 	 Accuracy : 0.631737
Epoch : 31 	 Error : 0.242595 	 Accuracy : 0.631737
