2024-03-19 20:48:25 : scalar : MinMaxScalar
2024-03-19 20:48:25 : train test split : 0.25
2024-03-19 20:48:25 : random state : 15
2024-03-19 20:48:25 : epochs : 100
2024-03-19 20:48:25 : learning rate : 0.0001
2024-03-19 20:48:25 : activation function : sigmoid
2024-03-19 20:48:25 : loss function : mean_squared_error
2024-03-19 20:48:25 : Optimizer : SGDMomentum

2024-03-19 20:48:25 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.413754 	 Accuracy : 0.631737
Epoch : 2 	 Error : 0.331961 	 Accuracy : 0.631737
Epoch : 3 	 Error : 0.320505 	 Accuracy : 0.631737
Epoch : 4 	 Error : 0.307216 	 Accuracy : 0.631737
Epoch : 5 	 Error : 0.285371 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.270194 	 Accuracy : 0.368263
Epoch : 7 	 Error : 0.26396 	 Accuracy : 0.368263
Epoch : 8 	 Error : 0.256901 	 Accuracy : 0.374251
Epoch : 9 	 Error : 0.243626 	 Accuracy : 0.772455
Epoch : 10 	 Error : 0.213423 	 Accuracy : 0.805389
Epoch : 11 	 Error : 0.18477 	 Accuracy : 0.815868
Epoch : 12 	 Error : 0.177871 	 Accuracy : 0.805389
Epoch : 13 	 Error : 0.175761 	 Accuracy : 0.800898
Epoch : 14 	 Error : 0.174627 	 Accuracy : 0.800898
Epoch : 15 	 Error : 0.173877 	 Accuracy : 0.800898
Epoch : 16 	 Error : 0.17331 	 Accuracy : 0.799401
Epoch : 17 	 Error : 0.172824 	 Accuracy : 0.797904
Epoch : 18 	 Error : 0.172339 	 Accuracy : 0.797904
Epoch : 19 	 Error : 0.171759 	 Accuracy : 0.797904
Epoch : 20 	 Error : 0.170879 	 Accuracy : 0.796407
Epoch : 21 	 Error : 0.169198 	 Accuracy : 0.796407
Epoch : 22 	 Error : 0.166179 	 Accuracy : 0.796407
Epoch : 23 	 Error : 0.162753 	 Accuracy : 0.796407
Epoch : 24 	 Error : 0.160403 	 Accuracy : 0.796407
Epoch : 25 	 Error : 0.159351 	 Accuracy : 0.796407
Epoch : 26 	 Error : 0.158834 	 Accuracy : 0.796407
Epoch : 27 	 Error : 0.158505 	 Accuracy : 0.796407
Epoch : 28 	 Error : 0.158255 	 Accuracy : 0.796407
Epoch : 29 	 Error : 0.158046 	 Accuracy : 0.796407
Epoch : 30 	 Error : 0.157862 	 Accuracy : 0.796407
Epoch : 31 	 Error : 0.157694 	 Accuracy : 0.796407
Epoch : 32 	 Error : 0.157539 	 Accuracy : 0.796407
Epoch : 33 	 Error : 0.157393 	 Accuracy : 0.796407
Epoch : 34 	 Error : 0.157254 	 Accuracy : 0.796407
Epoch : 35 	 Error : 0.157121 	 Accuracy : 0.796407
Epoch : 36 	 Error : 0.156993 	 Accuracy : 0.796407
Epoch : 37 	 Error : 0.15687 	 Accuracy : 0.796407
Epoch : 38 	 Error : 0.156751 	 Accuracy : 0.796407
Epoch : 39 	 Error : 0.156636 	 Accuracy : 0.796407
Epoch : 40 	 Error : 0.156524 	 Accuracy : 0.796407
Epoch : 41 	 Error : 0.156416 	 Accuracy : 0.796407
Epoch : 42 	 Error : 0.15631 	 Accuracy : 0.796407
Epoch : 43 	 Error : 0.156206 	 Accuracy : 0.796407
Epoch : 44 	 Error : 0.156106 	 Accuracy : 0.796407
Epoch : 45 	 Error : 0.156007 	 Accuracy : 0.796407
Epoch : 46 	 Error : 0.155911 	 Accuracy : 0.796407
Epoch : 47 	 Error : 0.155817 	 Accuracy : 0.796407
Epoch : 48 	 Error : 0.155725 	 Accuracy : 0.796407
Epoch : 49 	 Error : 0.155634 	 Accuracy : 0.796407
Epoch : 50 	 Error : 0.155545 	 Accuracy : 0.796407
Epoch : 51 	 Error : 0.155458 	 Accuracy : 0.796407
Epoch : 52 	 Error : 0.155372 	 Accuracy : 0.79491
Epoch : 53 	 Error : 0.155288 	 Accuracy : 0.796407
Epoch : 54 	 Error : 0.155205 	 Accuracy : 0.796407
