2024-03-19 20:49:04 : scalar : MinMaxScalar
2024-03-19 20:49:04 : train test split : 0.25
2024-03-19 20:49:04 : random state : 15
2024-03-19 20:49:04 : epochs : 100
2024-03-19 20:49:04 : learning rate : 0.0001
2024-03-19 20:49:04 : activation function : relu
2024-03-19 20:49:04 : loss function : mean_squared_error
2024-03-19 20:49:04 : Optimizer : SGDMomentum

2024-03-19 20:49:04 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.969284 	 Accuracy : 0.368263
Epoch : 2 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 3 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 4 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 5 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 6 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 7 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 8 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 9 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 10 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 11 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 12 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 13 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 14 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 15 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 16 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 17 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 18 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 19 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 20 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 21 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 22 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 23 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 24 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 25 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 26 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 27 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 28 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 29 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 30 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 31 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 32 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 33 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 34 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 35 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 36 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 37 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 38 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 39 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 40 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 41 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 42 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 43 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 44 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 45 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 46 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 47 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 48 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 49 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 50 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 51 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 52 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 53 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 54 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 55 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 56 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 57 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 58 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 59 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 60 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 61 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 62 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 63 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 64 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 65 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 66 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 67 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 68 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 69 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 70 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 71 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 72 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 73 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 74 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 75 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 76 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 77 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 78 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 79 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 80 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 81 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 82 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 83 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 84 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 85 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 86 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 87 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 88 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 89 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 90 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 91 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 92 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 93 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 94 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 95 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 96 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 97 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 98 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 99 	 Error : 0.248497 	 Accuracy : 0.368263
Epoch : 100 	 Error : 0.248497 	 Accuracy : 0.368263

2024-03-19 20:49:04 : The confusion matrx is :
Confusion Matrix:
[['TN: 0' 'FP: 127']
 ['FN: 0' 'TP: 96']]

2024-03-19 20:49:04 : The test accuracy is 0.4304932735426009
