2024-03-19 20:52:38 : scalar : MinMaxScalar
2024-03-19 20:52:38 : train test split : 0.25
2024-03-19 20:52:38 : random state : 15
2024-03-19 20:52:38 : epochs : 1000
2024-03-19 20:52:38 : learning rate : 0.0001
2024-03-19 20:52:38 : activation function : sigmoid
2024-03-19 20:52:38 : loss function : mean_squared_error
2024-03-19 20:52:38 : Optimizer : Adam

2024-03-19 20:52:38 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.370851 	 Accuracy : 0.790419
Epoch : 2 	 Error : 0.154488 	 Accuracy : 0.800898
Epoch : 3 	 Error : 0.150839 	 Accuracy : 0.803892
Epoch : 4 	 Error : 0.149668 	 Accuracy : 0.811377
Epoch : 5 	 Error : 0.148897 	 Accuracy : 0.811377
Epoch : 6 	 Error : 0.148252 	 Accuracy : 0.811377
Epoch : 7 	 Error : 0.14764 	 Accuracy : 0.815868
Epoch : 8 	 Error : 0.147032 	 Accuracy : 0.815868
Epoch : 9 	 Error : 0.146424 	 Accuracy : 0.815868
Epoch : 10 	 Error : 0.145826 	 Accuracy : 0.817365
Epoch : 11 	 Error : 0.145242 	 Accuracy : 0.814371
Epoch : 12 	 Error : 0.144671 	 Accuracy : 0.812874
Epoch : 13 	 Error : 0.144105 	 Accuracy : 0.811377
Epoch : 14 	 Error : 0.143536 	 Accuracy : 0.80988
Epoch : 15 	 Error : 0.142959 	 Accuracy : 0.811377
Epoch : 16 	 Error : 0.14238 	 Accuracy : 0.812874
Epoch : 17 	 Error : 0.141799 	 Accuracy : 0.814371
Epoch : 18 	 Error : 0.141204 	 Accuracy : 0.814371
Epoch : 19 	 Error : 0.140576 	 Accuracy : 0.820359
Epoch : 20 	 Error : 0.13991 	 Accuracy : 0.821856
Epoch : 21 	 Error : 0.139221 	 Accuracy : 0.820359
Epoch : 22 	 Error : 0.138529 	 Accuracy : 0.823353
Epoch : 23 	 Error : 0.137854 	 Accuracy : 0.826347
Epoch : 24 	 Error : 0.137208 	 Accuracy : 0.827844
Epoch : 25 	 Error : 0.1366 	 Accuracy : 0.82485
Epoch : 26 	 Error : 0.136037 	 Accuracy : 0.827844
Epoch : 27 	 Error : 0.13552 	 Accuracy : 0.827844
Epoch : 28 	 Error : 0.135051 	 Accuracy : 0.827844
Epoch : 29 	 Error : 0.134629 	 Accuracy : 0.829341
Epoch : 30 	 Error : 0.134253 	 Accuracy : 0.829341
Epoch : 31 	 Error : 0.133916 	 Accuracy : 0.827844
Epoch : 32 	 Error : 0.133616 	 Accuracy : 0.826347
Epoch : 33 	 Error : 0.133347 	 Accuracy : 0.82485
Epoch : 34 	 Error : 0.133103 	 Accuracy : 0.826347
Epoch : 35 	 Error : 0.132882 	 Accuracy : 0.826347
Epoch : 36 	 Error : 0.132679 	 Accuracy : 0.826347
Epoch : 37 	 Error : 0.132491 	 Accuracy : 0.826347
Epoch : 38 	 Error : 0.132317 	 Accuracy : 0.826347
Epoch : 39 	 Error : 0.132153 	 Accuracy : 0.826347
Epoch : 40 	 Error : 0.131998 	 Accuracy : 0.826347
Epoch : 41 	 Error : 0.131852 	 Accuracy : 0.826347
Epoch : 42 	 Error : 0.131712 	 Accuracy : 0.826347
Epoch : 43 	 Error : 0.131578 	 Accuracy : 0.826347
Epoch : 44 	 Error : 0.131449 	 Accuracy : 0.826347
Epoch : 45 	 Error : 0.131325 	 Accuracy : 0.826347
Epoch : 46 	 Error : 0.131205 	 Accuracy : 0.826347
Epoch : 47 	 Error : 0.131089 	 Accuracy : 0.826347
Epoch : 48 	 Error : 0.130975 	 Accuracy : 0.826347
Epoch : 49 	 Error : 0.130864 	 Accuracy : 0.826347
Epoch : 50 	 Error : 0.130756 	 Accuracy : 0.826347
Epoch : 51 	 Error : 0.130649 	 Accuracy : 0.827844
Epoch : 52 	 Error : 0.130544 	 Accuracy : 0.826347
Epoch : 53 	 Error : 0.13044 	 Accuracy : 0.827844
Epoch : 54 	 Error : 0.130338 	 Accuracy : 0.829341
Epoch : 55 	 Error : 0.130236 	 Accuracy : 0.829341
Epoch : 56 	 Error : 0.130135 	 Accuracy : 0.830838
Epoch : 57 	 Error : 0.130035 	 Accuracy : 0.830838
Epoch : 58 	 Error : 0.129935 	 Accuracy : 0.829341
Epoch : 59 	 Error : 0.129836 	 Accuracy : 0.829341
Epoch : 60 	 Error : 0.129737 	 Accuracy : 0.829341
Epoch : 61 	 Error : 0.129638 	 Accuracy : 0.830838
Epoch : 62 	 Error : 0.129539 	 Accuracy : 0.830838
Epoch : 63 	 Error : 0.129441 	 Accuracy : 0.830838
Epoch : 64 	 Error : 0.129342 	 Accuracy : 0.830838
Epoch : 65 	 Error : 0.129244 	 Accuracy : 0.830838
Epoch : 66 	 Error : 0.129145 	 Accuracy : 0.830838
Epoch : 67 	 Error : 0.129047 	 Accuracy : 0.830838
Epoch : 68 	 Error : 0.128948 	 Accuracy : 0.830838
Epoch : 69 	 Error : 0.128849 	 Accuracy : 0.830838
Epoch : 70 	 Error : 0.12875 	 Accuracy : 0.830838
Epoch : 71 	 Error : 0.128651 	 Accuracy : 0.830838
Epoch : 72 	 Error : 0.128551 	 Accuracy : 0.830838
Epoch : 73 	 Error : 0.128451 	 Accuracy : 0.830838
Epoch : 74 	 Error : 0.12835 	 Accuracy : 0.830838
Epoch : 75 	 Error : 0.128249 	 Accuracy : 0.830838
Epoch : 76 	 Error : 0.128148 	 Accuracy : 0.830838
Epoch : 77 	 Error : 0.128046 	 Accuracy : 0.830838
Epoch : 78 	 Error : 0.127944 	 Accuracy : 0.832335
Epoch : 79 	 Error : 0.127842 	 Accuracy : 0.832335
Epoch : 80 	 Error : 0.12774 	 Accuracy : 0.832335
Epoch : 81 	 Error : 0.127638 	 Accuracy : 0.832335
Epoch : 82 	 Error : 0.127537 	 Accuracy : 0.832335
